;2017;;;2018;;;2019;;;2020;;;2021;;;2022;;;2023;;
Barrio;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km
CORDIALIDAD;72;2.99;11.81;100;4.16;16.40;92;3.83;15.08;58;2.41;9.51;12;0.50;1.97;11;0.46;1.80;0;0.00;0.00
CORREGIMIENTO JUAN MINA;2;0.07;0.34;0;0.00;0.00;2;0.07;0.34;0;0.00;0.00;0;0.00;0.00;5;0.17;0.84;1;0.03;0.17
CORREGIMIENTO LA PLAYA;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00;10;0.05;0.24;33;0.18;0.81;25;0.14;0.61;6;0.03;0.15
CUCHILLA DE VILLATE;5;0.31;1.50;2;0.12;0.60;2;0.12;0.60;0;0.00;0.00;7;0.43;2.10;3;0.19;0.90;2;0.12;0.60
EL BOSQUE;70;0.34;1.60;58;0.28;1.32;60;0.29;1.37;43;0.21;0.98;82;0.40;1.87;64;0.31;1.46;32;0.16;0.73
EL CAMPITO;16;0.93;3.85;16;0.93;3.85;13;0.76;3.13;4;0.23;0.96;11;0.64;2.65;7;0.41;1.68;2;0.12;0.48
EL CARMEN;75;1.48;6.11;61;1.20;4.97;64;1.26;5.21;35;0.69;2.85;60;1.18;4.89;44;0.87;3.58;23;0.45;1.87
EL CASTILLO;24;0.61;4.52;22;0.56;4.14;28;0.71;5.27;20;0.51;3.76;42;1.06;7.91;22;0.56;4.14;4;0.10;0.75
EL EDEN 2000;1;0.15;0.45;6;0.92;2.67;2;0.31;0.89;4;0.61;1.78;0;0.00;0.00;2;0.31;0.89;0;0.00;0.00
EL EDEN I;27;3.24;24.55;23;2.76;20.91;98;11.77;89.09;45;5.40;40.91;9;1.08;8.18;3;0.36;2.73;2;0.24;1.82
EL GOLF;45;2.80;17.89;47;2.92;18.69;46;2.86;18.29;23;1.43;9.15;48;2.98;19.09;31;1.93;12.33;4;0.25;1.59
