;2017;;;2018;;;2019;;;2020;;;2021;;;2022;;;2023;;
Barrio;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km
SECTOR LAS LOMAS;106;0.49;7.87;105;0.48;7.80;99;0.46;7.35;54;0.25;4.01;17;0.08;1.26;27;0.12;2.01;7;0.03;0.52
SECTOR ZONA FRANCA;78;0.27;2.27;34;0.12;0.99;78;0.27;2.27;37;0.13;1.07;40;0.14;1.16;48;0.17;1.39;7;0.02;0.20
SIAPE;18;1.49;7.98;29;2.41;12.86;12;1.00;5.32;15;1.24;6.65;77;6.39;34.15;47;3.90;20.84;8;0.66;3.55
SIMON BOLIVAR;297;2.99;11.48;306;3.08;11.83;358;3.60;13.84;175;1.76;6.76;230;2.32;8.89;148;1.49;5.72;25;0.25;0.97
SOLAIRE NORTE;21;3.70;21.43;26;4.58;26.53;18;3.17;18.37;9;1.59;9.18;4;0.70;4.08;6;1.06;6.12;2;0.35;2.04
TABACO RUBIO;12;0.34;3.46;19;0.53;5.48;4;0.11;1.15;18;0.50;5.19;25;0.70;7.21;18;0.50;5.19;0;0.00;0.00
TAYRONA;41;2.18;7.66;27;1.44;5.04;36;1.92;6.72;8;0.43;1.49;2;0.11;0.37;13;0.69;2.43;1;0.05;0.19
UNIVERSAL I;4;0.52;1.53;4;0.52;1.53;3;0.39;1.15;0;0.00;0.00;3;0.39;1.15;0;0.00;0.00;0;0.00;0.00
UNIVERSAL II;0;0.00;0.00;0;0.00;0.00;6;1.48;4.58;2;0.49;1.53;2;0.49;1.53;7;1.73;5.35;2;0.49;1.53
VILLA BLANCA;70;3.64;9.81;35;1.82;4.91;35;1.82;4.91;27;1.41;3.78;14;0.73;1.96;8;0.42;1.12;2;0.10;0.28
VILLA CAROLINA;77;1.03;5.19;60;0.81;4.05;88;1.18;5.94;44;0.59;2.97;69;0.93;4.66;52;0.70;3.51;8;0.11;0.54
VILLA COUNTRY;74;2.96;15.38;67;2.68;13.92;40;1.60;8.31;43;1.72;8.93;26;1.04;5.40;26;1.04;5.40;0;0.00;0.00
VILLA DEL ESTE;8;1.28;7.84;7;1.12;6.86;3;0.48;2.94;8;1.28;7.84;25;3.99;24.49;10;1.60;9.79;2;0.32;1.96
VILLA DEL ROSARIO;2;0.10;0.62;0;0.00;0.00;4;0.19;1.24;0;0.00;0.00;2;0.10;0.62;0;0.00;0.00;0;0.00;0.00
VILLA FLOR;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00;1;0.13;0.37;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00
VILLA SAN CARLOS;10;0.71;2.54;22;1.55;5.59;12;0.85;3.05;5;0.35;1.27;17;1.20;4.32;5;0.35;1.27;8;0.56;2.03
VILLA SAN PEDRO II;21;0.55;3.42;11;0.29;1.79;14;0.37;2.28;19;0.50;3.09;97;2.56;15.80;106;2.80;17.27;23;0.61;3.75
VILLA SANTOS;168;2.54;9.49;183;2.76;10.34;94;1.42;5.31;91;1.37;5.14;107;1.62;6.04;66;1.00;3.73;19;0.29;1.07
VILLA SEVILLA;2;0.25;0.51;1;0.12;0.26;2;0.25;0.51;1;0.12;0.26;18;2.23;4.61;3;0.37;0.77;5;0.62;1.28
VILLANUEVA;40;0.20;1.52;51;0.25;1.94;52;0.26;1.98;48;0.24;1.83;42;0.21;1.60;49;0.24;1.86;7;0.03;0.27
VILLATE;21;1.22;5.39;17;0.99;4.36;16;0.93;4.11;5;0.29;1.28;12;0.70;3.08;11;0.64;2.82;1;0.06;0.26
ZONA ENMONTADA;37;0.31;4.05;32;0.27;3.50;49;0.42;5.36;64;0.54;7.00;204;1.73;22.31;107;0.91;11.70;30;0.25;3.28
ZONA FUTUROS DESARROLLOS URBANOS;47;0.22;3.29;34;0.16;2.38;23;0.11;1.61;27;0.13;1.89;7;0.03;0.49;14;0.07;0.98;5;0.02;0.35
BERNARDO HOYOS;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00
EL GOLFO;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00
EL MILAGRO;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00
LA GLORIA;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00
VILLA DEL CARMEN;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00
VILLAS DE LA CORDIALIDAD;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00
