Año;Metropolitana;Norte - Centro Historico;Riomar;Suroccidente;Suroriental
2017;3.02;29.15;21.13;5.21;7.62
2018;3.02;26.44;19;4.96;6.98
2019;2.64;24.16;16.34;5.15;7.59
2020;1.81;13.97;8.68;2.97;4.01
2021;2.72;18.14;14.78;4.44;5.62
2022;2.22;14.68;10.37;3.24;4.6
