BARRIO;LOCALIDAD;cant_siniestros;km_vias;area_m2;area_ha;siniestros/ha;siniestros/km
SECTOR ZONA FRANCA;Suroriental;322;34.433;2840240.596;284.024;1.13;9.35
SIAPE;Riomar;206;2.255;120531.106;12.053;17.09;91.35
SIMON BOLIVAR;Suroriental;1539;25.876;993303.772;99.33;15.49;59.48
SOLAIRE NORTE;Riomar;86;0.98;56753.568;5.675;15.15;87.76
TABACO RUBIO;Suroriental;96;3.469;358109.308;35.811;2.68;27.67
TAYRONA;Suroriental;128;5.354;187884.704;18.788;6.81;23.91
UNIVERSAL I;Suroriental;14;2.612;76210.793;7.621;1.84;5.36
UNIVERSAL II;Suroriental;19;1.309;40476.835;4.048;4.69;14.51
VILLA BLANCA;Suroriental;191;7.134;192046.844;19.205;9.95;26.77
VILLA CAROLINA;Riomar;398;14.822;744743.758;74.474;5.34;26.85
VILLA COUNTRY;Norte - Centro Historico;276;4.813;249879.938;24.988;11.05;57.34
VILLA DEL CARMEN;Suroriental;0;0.616;31937.61;3.194;0;0
VILLA DEL ESTE;Riomar;63;1.021;62685.307;6.269;10.05;61.7
VILLA DEL ROSARIO;Suroccidente;8;3.231;207513.911;20.751;0.39;2.48
VILLA FLOR;Suroccidente;1;2.681;75750.744;7.575;0.13;0.37
VILLA SAN CARLOS;Metropolitana;79;3.939;141694.958;14.169;5.58;20.06
VILLA SAN PEDRO II;Metropolitana;291;6.139;378533.751;37.853;7.69;47.4
VILLA SANTOS;Riomar;729;17.704;662051.664;66.205;11.01;41.18
VILLA SEVILLA;Metropolitana;32;3.908;80759.492;8.076;3.96;8.19
VILLANUEVA;Norte - Centro Historico;289;26.289;2023914.45;202.391;1.43;10.99
VILLAS DE LA CORDIALIDAD;Suroccidente;0;2.242;131522.534;13.152;0;0
VILLATE;Suroccidente;83;3.896;172193.577;17.219;4.82;21.3
ZONA ENMONTADA;Norte - Centro Historico;524;9.142;1180250.094;118.025;4.44;57.32
ZONA FUTUROS DESARROLLOS URBANOS;Riomar;157;14.306;2136177.952;213.618;0.73;10.97
