Año;Metropolitana;Norte - Centro Historico;Riomar;Suroccidente;Suroriental
2017;0.68;2.05;1.35;0.81;1.33
2018;0.69;1.87;1.22;0.78;1.22
2019;0.6;1.71;1.05;0.81;1.33
2020;0.41;0.99;0.56;0.47;0.71
2021;0.62;1.29;0.95;0.7;0.99
2022;0.51;1.05;0.67;0.51;0.81
