Año;Metropolitana;Norte - Centro Historico;Riomar;Suroccidente;Suroriental
2017;2.74;12.57;8.24;3.96;6.1
2018;2.75;11.44;7.44;3.78;5.6
2019;2.42;10.49;6.41;3.94;6.11
2020;1.66;6.08;3.42;2.28;3.24
2021;2.49;7.92;5.83;3.41;4.55
2022;2.04;6.42;4.1;2.5;3.73
